"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00087110","3.0","ERS1458970","MGYS00001336","metagenomic",,"ERR1743378",
"MGYA00107746","3.0","ERS783982","MGYS00001660","metagenomic",,"ERR953370",
"MGYA00087175","3.0","ERS1458978","MGYS00001336","metagenomic",,"ERR1743386",
"MGYA00102753","3.0","ERS1562591","MGYS00001543","metagenomic",,"ERR1843312",
"MGYA00069158","3.0","ERS1261400","MGYS00001179","metagenomic",,"ERR1544011",
"MGYA00095524","3.0","SRS1615503","MGYS00001406","metagenomic",,"SRR4029112",
"MGYA00087113","3.0","ERS1458893","MGYS00001336","metagenomic",,"ERR1743301",
"MGYA00112306","3.0","ERS1222673","MGYS00001690","metagenomic",,"ERR1474560",
"MGYA00123078","3.0","ERS1696842","MGYS00001736","metagenomic",,"ERR1951258",
"MGYA00100721","3.0","ERS1276022","MGYS00001520","metagenomic",,"ERR1554595",
"MGYA00069107","3.0","ERS1245399","MGYS00001177","metagenomic",,"ERR1527278",
"MGYA00069167","3.0","ERS1261409","MGYS00001179","metagenomic",,"ERR1544589",
"MGYA00097015","3.0","ERS1532239","MGYS00001443","metagenomic",,"ERR1816708",
"MGYA00087108","3.0","ERS1458888","MGYS00001336","metagenomic",,"ERR1743296",
"MGYA00087210","3.0","ERS1458880","MGYS00001336","metagenomic",,"ERR1743288",
"MGYA00087189","3.0","ERS1458975","MGYS00001336","metagenomic",,"ERR1743383",
"MGYA00087134","3.0","ERS1458973","MGYS00001336","metagenomic",,"ERR1743381",
"MGYA00069154","3.0","ERS1261407","MGYS00001179","metagenomic",,"ERR1544587",
"MGYA00069166","3.0","ERS1261395","MGYS00001179","metagenomic",,"ERR1544006",
"MGYA00087209","3.0","ERS1458877","MGYS00001336","metagenomic",,"ERR1743285",
"MGYA00105097","3.0","ERS956540","MGYS00001622","metagenomic",,"ERR1121556",
"MGYA00100724","3.0","ERS1276023","MGYS00001520","metagenomic",,"ERR1554596",
"MGYA00069078","3.0","ERS1245396","MGYS00001177","metagenomic",,"ERR1527264",
"MGYA00069118","3.0","ERS1245396","MGYS00001177","metagenomic",,"ERR1527265",
"MGYA00097014","3.0","ERS1542868","MGYS00001443","metagenomic",,"ERR1816825",
"MGYA00069081","3.0","ERS1245401","MGYS00001177","metagenomic",,"ERR1527284",
"MGYA00085385","3.0","ERS1443830","MGYS00001105","metagenomic",,"ERR1726461",
"MGYA00071115","3.0","ERS1305725","MGYS00001200","metagenomic",,"ERR1597337",
"MGYA00085389","3.0","ERS1443742","MGYS00001105","metagenomic",,"ERR1725848",
"MGYA00087197","3.0","ERS1458928","MGYS00001336","metagenomic",,"ERR1743336",
"MGYA00087155","3.0","ERS1458929","MGYS00001336","metagenomic",,"ERR1743337",
"MGYA00069092","3.0","ERS1245400","MGYS00001177","metagenomic",,"ERR1527281",
"MGYA00087104","3.0","ERS1458886","MGYS00001336","metagenomic",,"ERR1743294",
"MGYA00069083","3.0","ERS1245400","MGYS00001177","metagenomic",,"ERR1527279",
"MGYA00087109","3.0","ERS1458976","MGYS00001336","metagenomic",,"ERR1743384",
"MGYA00105093","3.0","ERS956388","MGYS00001622","metagenomic",,"ERR1121453",
"MGYA00069100","3.0","ERS1245394","MGYS00001177","metagenomic",,"ERR1527257",
"MGYA00087127","3.0","ERS1458908","MGYS00001336","metagenomic",,"ERR1743316",
"MGYA00087149","3.0","ERS1458910","MGYS00001336","metagenomic",,"ERR1743318",
"MGYA00085390","3.0","ERS1443834","MGYS00001105","metagenomic",,"ERR1726984",
"MGYA00069091","3.0","ERS1245401","MGYS00001177","metagenomic",,"ERR1527286",
"MGYA00069084","3.0","ERS1245397","MGYS00001177","metagenomic",,"ERR1527269",
"MGYA00069090","3.0","ERS1245394","MGYS00001177","metagenomic",,"ERR1527258",
"MGYA00100722","3.0","ERS1276021","MGYS00001520","metagenomic",,"ERR1554594",
"MGYA00085373","3.0","ERS1443844","MGYS00001105","metagenomic",,"ERR1726993",
