"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00067736","3.0","ERS955497","MGYS00000573","metagenomic",,"ERR1527865",
"MGYA00067717","3.0","ERS955504","MGYS00000573","metagenomic",,"ERR1527920",
"MGYA00067631","3.0","ERS955500","MGYS00000573","metagenomic",,"ERR1527913",
"MGYA00067677","3.0","ERS955504","MGYS00000573","metagenomic",,"ERR1527882",
"MGYA00067671","3.0","ERS955499","MGYS00000573","metagenomic",,"ERR1527872",
"MGYA00067731","3.0","ERS955492","MGYS00000573","metagenomic",,"ERR1527888",
"MGYA00071161","3.0","ERS1289676","MGYS00001207","metagenomic",,"ERR1612258",
"MGYA00067730","3.0","ERS955502","MGYS00000573","metagenomic",,"ERR1527918",
"MGYA00067661","3.0","ERS955498","MGYS00000573","metagenomic",,"ERR1527869",
"MGYA00067650","3.0","ERS955501","MGYS00000573","metagenomic",,"ERR1527916",
"MGYA00067737","3.0","ERS955498","MGYS00000573","metagenomic",,"ERR1527868",
"MGYA00067723","3.0","ERS955493","MGYS00000573","metagenomic",,"ERR1527852",
"MGYA00067719","3.0","ERS955497","MGYS00000573","metagenomic",,"ERR1527864",
"MGYA00067726","3.0","ERS955502","MGYS00000573","metagenomic",,"ERR1527881",
"MGYA00067714","3.0","ERS955503","MGYS00000573","metagenomic",,"ERR1527925",
"MGYA00067732","3.0","ERS955504","MGYS00000573","metagenomic",,"ERR1527922",
"MGYA00067679","3.0","ERS955497","MGYS00000573","metagenomic",,"ERR1527866",
"MGYA00067629","3.0","ERS955496","MGYS00000573","metagenomic",,"ERR1527899",
"MGYA00067698","3.0","ERS955503","MGYS00000573","metagenomic",,"ERR1527886",
"MGYA00067701","3.0","ERS955493","MGYS00000573","metagenomic",,"ERR1527853",
"MGYA00067640","3.0","ERS955496","MGYS00000573","metagenomic",,"ERR1527861",
"MGYA00071162","3.0","ERS1289676","MGYS00001207","metagenomic",,"ERR1578618",
"MGYA00067725","3.0","ERS955502","MGYS00000573","metagenomic",,"ERR1527880",
"MGYA00067637","3.0","ERS955493","MGYS00000573","metagenomic",,"ERR1527854",
"MGYA00067656","3.0","ERS955503","MGYS00000573","metagenomic",,"ERR1527924",
"MGYA00067706","3.0","ERS955499","MGYS00000573","metagenomic",,"ERR1527910",
"MGYA00067697","3.0","ERS955503","MGYS00000573","metagenomic",,"ERR1527923",
"MGYA00067632","3.0","ERS955501","MGYS00000573","metagenomic",,"ERR1527915",
"MGYA00067689","3.0","ERS955499","MGYS00000573","metagenomic",,"ERR1527871",
"MGYA00067716","3.0","ERS955498","MGYS00000573","metagenomic",,"ERR1527905",
"MGYA00067566","3.0","ERS1234050","MGYS00001173","metagenomic",,"ERR1514431",
"MGYA00067684","3.0","ERS955492","MGYS00000573","metagenomic",,"ERR1527850",
"MGYA00067630","3.0","ERS955503","MGYS00000573","metagenomic",,"ERR1527887",
"MGYA00067735","3.0","ERS955496","MGYS00000573","metagenomic",,"ERR1527862",
"MGYA00071165","3.0","ERS1289676","MGYS00001207","metagenomic",,"ERR1612257",
"MGYA00067741","3.0","ERS955504","MGYS00000573","metagenomic",,"ERR1527883",
"MGYA00067636","3.0","ERS955503","MGYS00000573","metagenomic",,"ERR1527885",
"MGYA00067670","3.0","ERS955494","MGYS00000573","metagenomic",,"ERR1527896",
"MGYA00067690","3.0","ERS955502","MGYS00000573","metagenomic",,"ERR1527917",
"MGYA00067665","3.0","ERS955501","MGYS00000573","metagenomic",,"ERR1527876",
"MGYA00067680","3.0","ERS955499","MGYS00000573","metagenomic",,"ERR1527909",
"MGYA00067633","3.0","ERS955500","MGYS00000573","metagenomic",,"ERR1527912",
"MGYA00067691","3.0","ERS955494","MGYS00000573","metagenomic",,"ERR1527856",
"MGYA00067664","3.0","ERS955496","MGYS00000573","metagenomic",,"ERR1527900",
"MGYA00067708","3.0","ERS955494","MGYS00000573","metagenomic",,"ERR1527855",
"MGYA00067740","3.0","ERS955501","MGYS00000573","metagenomic",,"ERR1527877",
"MGYA00067643","3.0","ERS955497","MGYS00000573","metagenomic",,"ERR1527903",
"MGYA00067648","3.0","ERS955498","MGYS00000573","metagenomic",,"ERR1527867",
"MGYA00067564","3.0","ERS1234051","MGYS00001173","metagenomic",,"ERR1514432",
"MGYA00067653","3.0","ERS955498","MGYS00000573","metagenomic",,"ERR1527906",
"MGYA00067647","3.0","ERS955496","MGYS00000573","metagenomic",,"ERR1527901",
