"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00128285","3.0","ERS765164","MGYS00001786","metagenomic",,"ERR1308121",
"MGYA00074466","3.0","ERS970397","MGYS00001225","metagenomic",,"ERR1135716",
"MGYA00070204","3.0","ERS606403","MGYS00001193","metagenomic",,"ERR675616",
"MGYA00071523","3.0","ERS1338479","MGYS00001214","metagenomic",,"ERR1614712",
"MGYA00070235","3.0","ERS606409","MGYS00001193","metagenomic",,"ERR675624",
"MGYA00070465","3.0","ERS606449","MGYS00001193","metagenomic",,"ERR675665",
"MGYA00074803","3.0","ERS970287","MGYS00001225","metagenomic",,"ERR1135311",
"MGYA00071513","3.0","ERS1338481","MGYS00001214","metagenomic",,"ERR1614706",
"MGYA00074682","3.0","ERS970319","MGYS00001225","metagenomic",,"ERR1135343",
"MGYA00128580","3.0","ERS723646","MGYS00001796","metagenomic",,"ERR878270",
"MGYA00074604","3.0","ERS970309","MGYS00001225","metagenomic",,"ERR1135333",
"MGYA00074740","3.0","ERS970155","MGYS00001225","metagenomic",,"ERR1135179",
"MGYA00128242","3.0","ERS765163","MGYS00001786","metagenomic",,"ERR1308120",
"MGYA00094751","3.0","ERS1474381","MGYS00001380","metagenomic",,"ERR1762125",
"MGYA00133754","3.0","ERS1847628","MGYS00001912","metagenomic",,"ERR2059975",
"MGYA00133729","3.0","ERS1847589","MGYS00001912","metagenomic",,"ERR2059936",
"MGYA00094758","3.0","ERS1474379","MGYS00001380","metagenomic",,"ERR1762134",
"MGYA00074785","3.0","ERS970429","MGYS00001225","metagenomic",,"ERR1135748",
"MGYA00128279","3.0","ERS765147","MGYS00001786","metagenomic",,"ERR1308104",
"MGYA00070203","3.0","ERS606465","MGYS00001193","metagenomic",,"ERR675681",
"MGYA00074523","3.0","ERS970265","MGYS00001225","metagenomic",,"ERR1135289",
"MGYA00070408","3.0","ERS606345","MGYS00001193","metagenomic",,"ERR675555",
"MGYA00070222","3.0","ERS606364","MGYS00001193","metagenomic",,"ERR675574",
"MGYA00074619","3.0","ERS970166","MGYS00001225","metagenomic",,"ERR1135190",
"MGYA00094700","3.0","ERS1474387","MGYS00001380","metagenomic",,"ERR1762102",
"MGYA00074483","3.0","ERS970362","MGYS00001225","metagenomic",,"ERR1135681",
"MGYA00071536","3.0","ERS1338483","MGYS00001214","metagenomic",,"ERR1614731",
"MGYA00131993","3.0","ERS1792353","MGYS00001857","metagenomic",,"ERR2011068",
"MGYA00133718","3.0","ERS1847586","MGYS00001912","metagenomic",,"ERR2059933",
"MGYA00074329","3.0","ERS970279","MGYS00001225","metagenomic",,"ERR1135303",
"MGYA00074247","3.0","ERS970225","MGYS00001225","metagenomic",,"ERR1135249",
"MGYA00128444","3.0","ERS743202","MGYS00001787","metagenomic",,"ERR906572",
"MGYA00074719","3.0","ERS970443","MGYS00001225","metagenomic",,"ERR1135762",
"MGYA00131984","3.0","ERS1792354","MGYS00001857","metagenomic",,"ERR2011069",
"MGYA00128462","3.0","ERS743178","MGYS00001787","metagenomic",,"ERR906548",
"MGYA00131991","3.0","ERS1792352","MGYS00001857","metagenomic",,"ERR2011067",
"MGYA00128271","3.0","ERS765169","MGYS00001786","metagenomic",,"ERR1308126",
"MGYA00133715","3.0","ERS1847616","MGYS00001912","metagenomic",,"ERR2059963",
"MGYA00074307","3.0","ERS970404","MGYS00001225","metagenomic",,"ERR1135428",
"MGYA00074411","3.0","ERS970385","MGYS00001225","metagenomic",,"ERR1135704",
"MGYA00074649","3.0","ERS970408","MGYS00001225","metagenomic",,"ERR1135727",
"MGYA00074572","3.0","ERS970361","MGYS00001225","metagenomic",,"ERR1135680",
"MGYA00128244","3.0","ERS765166","MGYS00001786","metagenomic",,"ERR1308123",
"MGYA00070278","3.0","ERS606459","MGYS00001193","metagenomic",,"ERR675675",
"MGYA00128358","3.0","ERS743200","MGYS00001787","metagenomic",,"ERR906570",
"MGYA00128441","3.0","ERS743167","MGYS00001787","metagenomic",,"ERR906537",
"MGYA00128421","3.0","ERS743136","MGYS00001787","metagenomic",,"ERR906506",
"MGYA00074615","3.0","ERS970301","MGYS00001225","metagenomic",,"ERR1135325",
"MGYA00070466","3.0","ERS606316","MGYS00001193","metagenomic",,"ERR675526",
"MGYA00071510","3.0","ERS1338478","MGYS00001214","metagenomic",,"ERR1614700",
"MGYA00074751","3.0","ERS970222","MGYS00001225","metagenomic",,"ERR1135246",
"MGYA00074495","3.0","ERS970188","MGYS00001225","metagenomic",,"ERR1135212",
"MGYA00070501","3.0","ERS606423","MGYS00001193","metagenomic",,"ERR675639",
"MGYA00074672","3.0","ERS970351","MGYS00001225","metagenomic",,"ERR1135375",
"MGYA00122980","3.0","ERS1696259","MGYS00001733","metagenomic",,"ERR1950674",
"MGYA00074692","3.0","ERS970425","MGYS00001225","metagenomic",,"ERR1135449",
"MGYA00074755","3.0","ERS970383","MGYS00001225","metagenomic",,"ERR1135702",
"MGYA00074386","3.0","ERS970209","MGYS00001225","metagenomic",,"ERR1135233",
"MGYA00094730","3.0","ERS1474385","MGYS00001380","metagenomic",,"ERR1762115",
"MGYA00074608","3.0","ERS970169","MGYS00001225","metagenomic",,"ERR1135193",
"MGYA00074584","3.0","ERS970283","MGYS00001225","metagenomic",,"ERR1135307",
"MGYA00128607","3.0","ERS723623","MGYS00001796","metagenomic",,"ERR878246",
"MGYA00070273","3.0","ERS606451","MGYS00001193","metagenomic",,"ERR675667",
"MGYA00071508","3.0","ERS1338481","MGYS00001214","metagenomic",,"ERR1614703",
"MGYA00128433","3.0","ERS743129","MGYS00001787","metagenomic",,"ERR906499",
"MGYA00076569","3.0","ERS1353924","MGYS00001254","metagenomic",,"ERR1654742",
"MGYA00074677","3.0","ERS970303","MGYS00001225","metagenomic",,"ERR1135327",
"MGYA00074595","3.0","ERS970391","MGYS00001225","metagenomic",,"ERR1135710",
"MGYA00094731","3.0","ERS1474391","MGYS00001380","metagenomic",,"ERR1762083",
