"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00127067","3.0","SRS1044735","MGYS00001773","metagenomic",,"SRR2182549",
"MGYA00105554","3.0","ERS654086","MGYS00001637","metagenomic",,"ERR752915",
"MGYA00123988","3.0","SRS1973022","MGYS00001747","metagenomic",,"SRR5249727",
"MGYA00127085","3.0","SRS1044739","MGYS00001773","metagenomic",,"SRR2182537",
"MGYA00131852","3.0","SRS1659777","MGYS00001842","metagenomic",,"SRR4101312",
"MGYA00124001","3.0","SRS1973013","MGYS00001747","metagenomic",,"SRR5249718",
"MGYA00102746","3.0","ERS1566216","MGYS00001449","metagenomic",,"ERR1854456",
"MGYA00127091","3.0","SRS1044731","MGYS00001773","metagenomic",,"SRR2182535",
"MGYA00127068","3.0","SRS1044738","MGYS00001773","metagenomic",,"SRR2182540",
"MGYA00105553","3.0","ERS654089","MGYS00001637","metagenomic",,"ERR752918",
"MGYA00124005","3.0","SRS1973016","MGYS00001747","metagenomic",,"SRR5249721",
"MGYA00102740","3.0","ERS1566222","MGYS00001449","metagenomic",,"ERR1854462",
"MGYA00131824","3.0","SRS1659769","MGYS00001842","metagenomic",,"SRR4101290",
"MGYA00131836","3.0","SRS1659774","MGYS00001842","metagenomic",,"SRR4101305",
"MGYA00123981","3.0","SRS1973005","MGYS00001747","metagenomic",,"SRR5249710",
"MGYA00124018","3.0","SRS1973017","MGYS00001747","metagenomic",,"SRR5249722",
"MGYA00124023","3.0","SRS1973038","MGYS00001747","metagenomic",,"SRR5249743",
"MGYA00124025","3.0","SRS1973004","MGYS00001747","metagenomic",,"SRR5249709",
"MGYA00124020","3.0","SRS1973027","MGYS00001747","metagenomic",,"SRR5249732",
"MGYA00123998","3.0","SRS1973033","MGYS00001747","metagenomic",,"SRR5249738",
"MGYA00127090","3.0","SRS1044735","MGYS00001773","metagenomic",,"SRR2182551",
"MGYA00105556","3.0","ERS654085","MGYS00001637","metagenomic",,"ERR752914",
"MGYA00127077","3.0","SRS1044731","MGYS00001773","metagenomic",,"SRR2182533",
"MGYA00102742","3.0","ERS1566227","MGYS00001449","metagenomic",,"ERR1854467",
"MGYA00131850","3.0","SRS1659779","MGYS00001842","metagenomic",,"SRR4101317",
"MGYA00123992","3.0","SRS1972992","MGYS00001747","metagenomic",,"SRR5249697",
"MGYA00131832","3.0","SRS1659773","MGYS00001842","metagenomic",,"SRR4101299",
"MGYA00131858","3.0","SRS1659780","MGYS00001842","metagenomic",,"SRR4101322",
"MGYA00127074","3.0","SRS1044732","MGYS00001773","metagenomic",,"SRR2182532",
"MGYA00131842","3.0","SRS1659776","MGYS00001842","metagenomic",,"SRR4101311",
"MGYA00127083","3.0","SRS1044734","MGYS00001773","metagenomic",,"SRR2182554",
"MGYA00131831","3.0","SRS1659778","MGYS00001842","metagenomic",,"SRR4101313",
"MGYA00102744","3.0","ERS1566223","MGYS00001449","metagenomic",,"ERR1854463",
"MGYA00123995","3.0","SRS1973026","MGYS00001747","metagenomic",,"SRR5249731",
"MGYA00127082","3.0","SRS1044733","MGYS00001773","metagenomic",,"SRR2182531",
"MGYA00124017","3.0","SRS1972994","MGYS00001747","metagenomic",,"SRR5249699",
"MGYA00105559","3.0","ERS654087","MGYS00001637","metagenomic",,"ERR752916",
"MGYA00102747","3.0","ERS1566220","MGYS00001449","metagenomic",,"ERR1854460",
"MGYA00127089","3.0","SRS1044739","MGYS00001773","metagenomic",,"SRR2182536",
"MGYA00124010","3.0","SRS1973037","MGYS00001747","metagenomic",,"SRR5249742",
"MGYA00123982","3.0","SRS1973011","MGYS00001747","metagenomic",,"SRR5249716",
"MGYA00124009","3.0","SRS1973035","MGYS00001747","metagenomic",,"SRR5249740",
"MGYA00131830","3.0","SRS1659769","MGYS00001842","metagenomic",,"SRR4101289",
"MGYA00124002","3.0","SRS1973009","MGYS00001747","metagenomic",,"SRR5249714",
"MGYA00102741","3.0","ERS1566218","MGYS00001449","metagenomic",,"ERR1854458",
"MGYA00123996","3.0","SRS1973039","MGYS00001747","metagenomic",,"SRR5249744",
"MGYA00131857","3.0","SRS1659770","MGYS00001842","metagenomic",,"SRR4101291",
"MGYA00123978","3.0","SRS1972996","MGYS00001747","metagenomic",,"SRR5249701",
"MGYA00102745","3.0","ERS1566225","MGYS00001449","metagenomic",,"ERR1854465",
"MGYA00131845","3.0","SRS1659778","MGYS00001842","metagenomic",,"SRR4101315",
"MGYA00127095","3.0","SRS1044732","MGYS00001773","metagenomic",,"SRR2182557",
"MGYA00102750","3.0","ERS1566217","MGYS00001449","metagenomic",,"ERR1854457",
"MGYA00124000","3.0","SRS1973028","MGYS00001747","metagenomic",,"SRR5249733",
"MGYA00131843","3.0","SRS1659776","MGYS00001842","metagenomic",,"SRR4101309",
"MGYA00123986","3.0","SRS1973021","MGYS00001747","metagenomic",,"SRR5249726",
"MGYA00131837","3.0","SRS1659774","MGYS00001842","metagenomic",,"SRR4101304",
"MGYA00131854","3.0","SRS1659772","MGYS00001842","metagenomic",,"SRR4101298",
"MGYA00124019","3.0","SRS1973029","MGYS00001747","metagenomic",,"SRR5249734",
"MGYA00131846","3.0","SRS1659775","MGYS00001842","metagenomic",,"SRR4101306",
"MGYA00127081","3.0","SRS1044735","MGYS00001773","metagenomic",,"SRR2182550",
"MGYA00127070","3.0","SRS1044740","MGYS00001773","metagenomic",,"SRR2182555",
"MGYA00124026","3.0","SRS1972997","MGYS00001747","metagenomic",,"SRR5249702",
"MGYA00127080","3.0","SRS1044731","MGYS00001773","metagenomic",,"SRR2182534",
