"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00097648","3.0","ERS1512930","MGYS00001447","metagenomic",,"ERR1811658",
"MGYA00067676","3.0","ERS955492","MGYS00000573","metagenomic",,"ERR1527889",
"MGYA00136475","3.0","ERS1719619","MGYS00001761","metagenomic",,"ERR1960515",
"MGYA00067661","3.0","ERS955498","MGYS00000573","metagenomic",,"ERR1527869",
"MGYA00071075","3.0","ERS1284771","MGYS00001198","metagenomic",,"ERR1559796",
"MGYA00083521","3.0","ERS1392518","MGYS00001253","metagenomic",,"ERR1676591",
"MGYA00067725","3.0","ERS955502","MGYS00000573","metagenomic",,"ERR1527880",
"MGYA00067691","3.0","ERS955494","MGYS00000573","metagenomic",,"ERR1527856",
"MGYA00087078","3.0","ERS1459630","MGYS00001331","metagenomic",,"ERR1742658",
"MGYA00067693","3.0","ERS955497","MGYS00000573","metagenomic",,"ERR1527904",
"MGYA00071162","3.0","ERS1289676","MGYS00001207","metagenomic",,"ERR1578618",
"MGYA00067630","3.0","ERS955503","MGYS00000573","metagenomic",,"ERR1527887",
"MGYA00087085","3.0","ERS1459616","MGYS00001331","metagenomic",,"ERR1742644",
"MGYA00071064","3.0","ERS1284762","MGYS00001198","metagenomic",,"ERR1559787",
"MGYA00136468","3.0","ERS1719607","MGYS00001761","metagenomic",,"ERR1960503",
"MGYA00104002","3.0","ERS915779","MGYS00001606","metagenomic",,"ERR1078298",
"MGYA00067644","3.0","ERS955495","MGYS00000573","metagenomic",,"ERR1527859",
"MGYA00071077","3.0","ERS1280326","MGYS00001198","metagenomic",,"ERR1558696",
"MGYA00083520","3.0","ERS1392520","MGYS00001253","metagenomic",,"ERR1676593",
"MGYA00097626","3.0","ERS1512909","MGYS00001447","metagenomic",,"ERR1811637",
"MGYA00071083","3.0","ERS1284774","MGYS00001198","metagenomic",,"ERR1559799",
"MGYA00067689","3.0","ERS955499","MGYS00000573","metagenomic",,"ERR1527871",
"MGYA00097658","3.0","ERS1512915","MGYS00001447","metagenomic",,"ERR1811643",
"MGYA00071164","3.0","ERS1289676","MGYS00001207","metagenomic",,"ERR1612256",
"MGYA00097631","3.0","ERS1512902","MGYS00001447","metagenomic",,"ERR1811630",
"MGYA00067685","3.0","ERS955493","MGYS00000573","metagenomic",,"ERR1527891",
"MGYA00136474","3.0","ERS1719614","MGYS00001761","metagenomic",,"ERR1960510",
"MGYA00097640","3.0","ERS1512911","MGYS00001447","metagenomic",,"ERR1811639",
"MGYA00071069","3.0","ERS1284770","MGYS00001198","metagenomic",,"ERR1559795",
"MGYA00071086","3.0","ERS1284786","MGYS00001198","metagenomic",,"ERR1559811",
"MGYA00071055","3.0","ERS1284772","MGYS00001198","metagenomic",,"ERR1559797",
"MGYA00097644","3.0","ERS1512906","MGYS00001447","metagenomic",,"ERR1811634",
"MGYA00067669","3.0","ERS955502","MGYS00000573","metagenomic",,"ERR1527879",
"MGYA00067735","3.0","ERS955496","MGYS00000573","metagenomic",,"ERR1527862",
"MGYA00126473","3.0","ERS1719613","MGYS00001761","metagenomic",,"ERR1960509",
"MGYA00067663","3.0","ERS955493","MGYS00000573","metagenomic",,"ERR1527892",
"MGYA00126472","3.0","ERS1719604","MGYS00001761","metagenomic",,"ERR1960500",
"MGYA00071161","3.0","ERS1289676","MGYS00001207","metagenomic",,"ERR1612258",
"MGYA00067732","3.0","ERS955504","MGYS00000573","metagenomic",,"ERR1527922",
"MGYA00071057","3.0","ERS1280327","MGYS00001198","metagenomic",,"ERR1558697",
"MGYA00067690","3.0","ERS955502","MGYS00000573","metagenomic",,"ERR1527917",
"MGYA00067736","3.0","ERS955497","MGYS00000573","metagenomic",,"ERR1527865",
"MGYA00104007","3.0","ERS915773","MGYS00001606","metagenomic",,"ERR1078292",
"MGYA00097638","3.0","ERS1512899","MGYS00001447","metagenomic",,"ERR1811627",
"MGYA00136470","3.0","ERS1719612","MGYS00001761","metagenomic",,"ERR1960508",
"MGYA00067718","3.0","ERS955493","MGYS00000573","metagenomic",,"ERR1527893",
"MGYA00071053","3.0","ERS1284765","MGYS00001198","metagenomic",,"ERR1559790",
"MGYA00067677","3.0","ERS955504","MGYS00000573","metagenomic",,"ERR1527882",
"MGYA00097655","3.0","ERS1512933","MGYS00001447","metagenomic",,"ERR1811661",
"MGYA00067655","3.0","ERS955495","MGYS00000573","metagenomic",,"ERR1527858",
"MGYA00067647","3.0","ERS955496","MGYS00000573","metagenomic",,"ERR1527901",
"MGYA00067641","3.0","ERS955492","MGYS00000573","metagenomic",,"ERR1527849",
"MGYA00104012","3.0","ERS915780","MGYS00001606","metagenomic",,"ERR1078299",
"MGYA00067643","3.0","ERS955497","MGYS00000573","metagenomic",,"ERR1527903",
"MGYA00087086","3.0","ERS1459625","MGYS00001331","metagenomic",,"ERR1742653",
"MGYA00104011","3.0","ERS915778","MGYS00001606","metagenomic",,"ERR1078297",
"MGYA00067708","3.0","ERS955494","MGYS00000573","metagenomic",,"ERR1527855",
"MGYA00083523","3.0","ERS1392519","MGYS00001253","metagenomic",,"ERR1676592",
"MGYA00071074","3.0","ERS1284782","MGYS00001198","metagenomic",,"ERR1559807",
"MGYA00071081","3.0","ERS1284768","MGYS00001198","metagenomic",,"ERR1559793",
